2<br>Rotunda, Parnell Square West
3<br>Rotunda, Granby Place
4<br>Rotunda, Rotunda Hospital
6<br>Rotunda, Saint Martin's Chapel
7<br>Rotunda, Rotunda Hospital
8<br>Rotunda, Parnell Square West
10<br>Rotunda, Parnell Square West
11<br>Phibsborough, Upper Dorset St (St.Joseph's Parade)
12<br>Phibsborough, Upper Dorset St (St.Joseph's Parade)
14<br>Phibsborough, Lower Dorset Street
15<br>Ballybough, Lower Dorset Street
16<br>Cabra, John Paul Park
17<br>Drumcondra, Outside Train Station
18<br>Drumcondra (Dublin), Drumcondra Road
19<br>Drumcondra, Lower Drumcondra Road
21<br>Drumcondra (Dublin), Saint Patrick's College
22<br>Drumcondra (Dublin), Home Farm Road (Achill Road)
23<br>Drumcondra (Dublin), Ferguson Road
24<br>Drumcondra (Dublin), Home Farm Road
25<br>Glasnevin, Rathlin Road
27<br>Glasnevin, Ballymun Road (Griffith Avenue)
28<br>Wadelai, Glasnevin Tennis Club
29<br>Whitehall (Dublin City), Ballymun Road
30<br>Cabra, Pope John Paul II Park
31<br>Wadelai, Maolbuille Road
32<br>Wadelai, Saint Pappin's Road
33<br>Wadelai, Glasnevin Drive
35<br>Wadelai, Dean Swift Road
36<br>Wadelai, Saint Pappin's Road
37<br>Whitehall (Dublin City), DCU Ballymun Road
38<br>Whitehall (Dublin City), Ballymun Road
39<br>Glasnevin, Ballymun Road (Griffith Avenue)
40<br>Glasnevin, Mobhi Road
41<br>Drumcondra (Dublin), Home Farm Road
42<br>Drumcondra (Dublin), Ferguson Road
43<br>Drumcondra (Dublin), Home Farm Road (Achill Road)
44<br>Drumcondra (Dublin), Homefarm Road
45<br>Drumcondra, Upper Drumcondra Road
46<br>Drumcondra (Dublin), Botanic Avenue
47<br>Drumcondra, Near Train Station
48<br>Summerhill (Dublin City), Lower Drumcondra Road
49<br>Ballybough, Lower Dorset Street
51<br>Upper Dorset St (Temple Street)
52<br>Phibsborough, Upper Dorset St (St.Joseph's Parade)
53<br>Phibsborough, North Circular Road (Lower Dorset Street)
54<br>Phibsborough, North Circular Road (Mater Hospital)
55<br>Phibsborough, Mater Hospital Mortuary
56<br>Phibsborough, Cabra Road (North Circular Road)
57<br>Phibsborough, Cabra Road (North Circular Road)
58<br>Cabra East, Cabra Road (Charleville Road)
59<br>Cabra East, Cabra Road (near Annamoe Terrace)
60<br>Cabra East, Cabra Road (Quarry Road)
63<br>Cabra East, Faussagh Avenue
64<br>Cabra, Faussagh Avenue (Church)
65<br>Cabra, Dingle Road
66<br>Cabra, Faussagh Avenue (Dingle Road)
68<br>Cabra, Ventry Drive
69<br>Cabra, Ventry Park Estate
71<br>Cabra, Pope John Paul II Park
72<br>Cabra, Ventry Drive
73<br>Cabra, Faussagh Avenue (Dingle Road)
74<br>Cabra, Faussagh Avenue (Church)
75<br>Cabra East, Faussagh Avenue
77<br>Cabra East, Cabra Road (Quarry Road)
78<br>Cabra East, Cabra Road (near Annamoe Terrace)
79<br>Cabra East, Cabra Road (Charleville Road)
80<br>Phibsborough, Cabra Road (North Circular Road)
81<br>Phibsborough, North Circular Road (Phibsborough Road)
82<br>Phibsborough, Royal Canal Bank
83<br>Phibsborough, North Circular Road (Mater Hospital)
84<br>Phibsborough, North Circular Road (Leo Street)
85<br>Drumcondra (Dublin), Homefarm Road
86<br>Whitehall (Dublin City), Garda Station
87<br>Whitehall (Dublin City), Sherkin Gardens
88<br>Whitehall (Dublin City), Walnut Rise
89<br>Whitehall (Dublin City), Griffith Avenue (Lambay Road)
90<br>Ballymun Road (St.Pappin's Road)
91<br>Ballymun Road (Glasnevin Avenue)
92<br>Wadelai, Ballymun Library
93<br>Wadelai, Ballymun Road (Opp Shanlis Road)
94<br>Ballymun, Civic Centre
100<br>Wellington Lane (Wellington Green
102<br>Ballymun, Balbutcher Lane (Ãrd Na Meala)
104<br>Poppintree, Balbutcher Lane (Carrig Road)
105<br>Ballymun, Balbutcher Lane (Cranogue Road)
107<br>Ballymun, Balbutcher Lane (Cranogue Road)
110<br>Ballymun, Balbutcher Lane (Ãrd Na Meala)
112<br>Ballymun, Civic Centre
113<br>Ballymun, Comprehensive School
114<br>Wadelai, Ballymun Road (Shanliss Road)
115<br>Whitehall (Dublin City), Ballymun Road (Albert College Drive)
116<br>Whitehall (Dublin City), Griffith Lawns
117<br>Whitehall (Dublin City), Walnut Rise
118<br>Whitehall (Dublin City), Sherkin Gardens
119<br>Drumcondra, Upper Drumcondra Road (Griffith Avenue)
124<br>Virgin Mary Church
